id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
fr_libc.so.6_no-load_0,114196309,11649069,23559441208,16508368864,3213666873,12370802,4316279365,28348348,15017045,7918484,4290907222,1794170,1,fr,no-load
fr_libc.so.6_no-load_1,104133006,9429674,23318302425,16080450946,3155777032,10128770,4232609593,26587964,14461949,7799461,4236870117,1722950,1,fr,no-load
fr_libc.so.6_no-load_2,124244944,11090900,23712933581,16413227593,3209534215,10970415,4276317437,27490503,15407788,7798410,4270286960,1842289,1,fr,no-load
fr_libc.so.6_no-load_3,102294074,8971984,23281458436,16435259072,3156191444,10166375,4207073615,30147175,14353931,7433881,4205796853,1699145,1,fr,no-load
fr_libc.so.6_no-load_4,313082424,58298778,27654322276,21695242540,4224847048,32052799,5661369123,114373499,53810980,15063410,5655084939,11263138,1,fr,no-load
fr_libc.so.6_no-load_5,104612679,10064083,23352785126,16513184820,3183281720,9201272,4237903196,31560704,14417015,7536196,4225480860,1734502,1,fr,no-load
fr_libc.so.6_no-load_6,102952378,9271373,23333158386,16560598000,3181128320,8835804,4235460106,31896159,14279411,7467949,4234719396,1682308,1,fr,no-load
fr_libc.so.6_no-load_7,107153087,10046031,23370116877,15920181361,3121087373,8784995,4178004107,27622784,14459375,7782113,4200273484,1744642,1,fr,no-load
fr_libc.so.6_no-load_8,108124136,10399010,23378018695,16346157911,3149179806,12617950,4199115352,32037445,14888228,7619547,4231143621,1796993,1,fr,no-load
fr_libc.so.6_no-load_9,104950765,8992386,23341265850,16359139684,3141216481,12216546,4185117357,31000137,14287373,7386767,4185517697,1692963,1,fr,no-load
fr_libc.so.6_no-load_10,104046968,9927799,23385588297,15962452265,3132305884,9468668,4196597470,27965636,14540288,7686034,4178782411,1700576,1,fr,no-load
fr_libc.so.6_no-load_11,102240736,9069293,23335511455,16551973114,3173747851,8754095,4228194039,30612497,14012413,7461366,4230905122,1688104,1,fr,no-load
fr_libc.so.6_no-load_12,103450792,9038627,23355179629,16561435129,3179447046,9148310,4234645028,33130829,14234919,7469916,4237236337,1709388,1,fr,no-load
fr_libc.so.6_no-load_13,107624163,9651405,23384839637,16796980041,3222450546,12515412,4288727360,23797554,14611536,7576179,4288213492,1737690,1,fr,no-load
fr_libc.so.6_no-load_14,105966520,9571773,23408450088,16951458841,3252241608,9286200,4327317139,24111129,14570226,7620999,4313243960,1715582,1,fr,no-load
fr_libc.so.6_no-load_15,98877534,9142023,23311263655,16756243614,3216640571,12387165,4282420368,23628764,14396053,7549444,4283345861,1681921,1,fr,no-load
fr_libc.so.6_no-load_16,102157562,9571299,23378542386,16800298388,3219100764,12774564,4283793662,23424797,14355940,7556253,4286177933,1707687,1,fr,no-load
fr_libc.so.6_no-load_17,101003141,9173913,23298744638,16734366665,3212158423,12240651,4275767766,23612281,14275470,7544825,4279389807,1682402,1,fr,no-load
fr_libc.so.6_no-load_18,101708288,9021414,23312258711,16766271893,3216375729,12292644,4282123988,23677350,14243814,7548518,4283304299,1681859,1,fr,no-load
fr_libc.so.6_no-load_19,105700221,9096425,23315810702,16746059276,3212735898,12191716,4276298654,23673620,14416673,7548704,4281525914,1712523,1,fr,no-load
fr_libc.so.6_no-load_20,101579501,9057021,23336620078,16729111332,3212034965,12818171,4274478483,23623868,14331799,7534722,4276570020,1704290,1,fr,no-load
fr_libc.so.6_no-load_21,102855050,9122999,23313011370,16777228561,3222462450,8740475,4287479949,22701654,14151996,7571414,4295114885,1689251,1,fr,no-load
fr_libc.so.6_no-load_22,105595813,9167529,23341592016,16835726547,3230006036,12442969,4301691416,23659929,14616809,7586813,4302743271,1710306,1,fr,no-load
fr_libc.so.6_no-load_23,103613542,9563993,23334641947,16244678304,3176721237,9188799,4264706190,23903724,14579768,7863728,4271060365,1762827,1,fr,no-load
fr_libc.so.6_no-load_24,104637116,9079468,23317067029,16756025290,3218896360,12597729,4286313157,23562663,14400639,7549544,4285894711,1712005,1,fr,no-load
fr_libc.so.6_avg-load_0,2652496261,9936893,63223362320,82824829301,10367056299,104413071,12837980863,1237951191,706061400,7492948,13065814921,1426339,1,fr,avg-load
fr_libc.so.6_avg-load_1,1787738249,9712020,63187732219,84509407752,10784705123,89940548,12927229078,1409820728,516928468,7554141,12856909636,1416687,1,fr,avg-load
fr_libc.so.6_avg-load_2,2026965759,9319219,62923512885,82106002255,10296919969,97201927,12462069010,1280162488,516160094,7179477,12867454730,1425603,1,fr,avg-load
fr_libc.so.6_avg-load_3,1964646881,10613128,63134611235,83552765175,10627276150,88993657,12695780304,1291881117,667566816,7401916,12750327860,1436536,1,fr,avg-load
fr_libc.so.6_avg-load_4,1604624198,10191218,63222585610,83626407450,10512757895,102362207,12723058633,1368907559,414199841,7378333,13343743291,1393877,1,fr,avg-load
fr_libc.so.6_avg-load_5,1863682685,9372791,62868929418,83822161039,10639587456,88816000,12745495397,1367918964,543466818,7509255,12840863865,1419455,1,fr,avg-load
fr_libc.so.6_avg-load_6,1849121460,9653049,63034442180,83589078244,10686202507,84091664,12742674387,1345512402,685942457,7374856,12393400352,1436375,1,fr,avg-load
fr_libc.so.6_avg-load_7,1640844911,10531931,63173062220,84209274628,10678820134,91969998,12849344312,1390850800,491175998,7435473,12927058670,1453418,1,fr,avg-load
fr_libc.so.6_avg-load_8,2257664997,9860960,63093641404,81412188102,10167677263,96464957,12438611011,1180704547,582376202,7394352,13153151133,1438788,1,fr,avg-load
fr_libc.so.6_avg-load_9,1260235502,9642225,63345736138,85195300963,10810880647,87858743,12869699642,1496446539,425581926,7305913,12690372820,1397846,1,fr,avg-load
