id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
fr_libc.so.6_no-load_0,124091552,11675017,23565213551,15882808963,3117826240,13369688,4178815876,28901985,16144075,7919959,4188699321,2038981,1,fr,no-load
fr_libc.so.6_no-load_1,112343457,9537341,23042503072,15377757136,3038678245,10060721,4090534679,25678197,14978269,7639463,4090960061,1815559,1,fr,no-load
fr_libc.so.6_no-load_2,114431896,9439408,22983605032,15392803330,3037986925,12318582,4085462347,26960993,15061922,7625439,4088191864,1802546,1,fr,no-load
fr_libc.so.6_no-load_3,111179071,9886545,23044084633,15351752186,3039456771,12899477,4093364126,25233279,15356588,7648938,4090451188,1849712,1,fr,no-load
fr_libc.so.6_no-load_4,110458960,9790640,23008757498,15417941867,3044224737,12328676,4089613076,24517448,15037478,7640208,4091930953,1826541,1,fr,no-load
fr_libc.so.6_no-load_5,113988766,11043484,23075328834,15439922289,3049291119,11303096,4110133309,25675041,15479284,7676636,4107324346,1837897,1,fr,no-load
fr_libc.so.6_no-load_6,119122229,11391375,23275919353,15675801699,3086592864,8558566,4134930637,24336842,15090434,7702519,4136246598,1828103,1,fr,no-load
fr_libc.so.6_no-load_7,110648097,9903512,23016081876,15304668106,3028957759,12626366,4081526233,25766091,15475976,7630249,4083422738,1815942,1,fr,no-load
fr_libc.so.6_no-load_8,115941947,10525554,23142136921,15536753571,3072600076,13649959,4152732092,27518361,15324695,7629549,4082566321,1843352,1,fr,no-load
fr_libc.so.6_no-load_9,117166211,11183018,23138825269,15430810619,3044330535,12992398,4090824812,25323379,15104641,7605182,4085353080,1830429,1,fr,no-load
fr_libc.so.6_no-load_10,112843363,10234446,23074475548,15531586477,3050390738,13011262,4137713788,29763161,15977974,7645067,4146274873,1904237,1,fr,no-load
fr_libc.so.6_no-load_11,118263541,9936882,23049431449,15315824405,3026212374,12503662,4071918976,24481242,14844761,7602769,4072620567,1736182,1,fr,no-load
fr_libc.so.6_no-load_12,125871413,15349742,23788816711,16683637019,3269663088,16574032,4392801748,40226037,19269683,9024485,4553701329,2421684,1,fr,no-load
fr_libc.so.6_no-load_13,120629212,10092255,23062446689,15302264750,3025053872,12613477,4068679704,25299019,15155840,7585538,4064567641,1763350,1,fr,no-load
fr_libc.so.6_no-load_14,109894737,9159623,22954394232,15402806036,3038431552,12224521,4087768842,27085802,15218481,7693367,4107606553,1908234,1,fr,no-load
fr_libc.so.6_no-load_15,115937626,10275597,23078712742,15394220439,3041981859,12703266,4089960189,24833309,15255259,7644472,4092965655,1862053,1,fr,no-load
fr_libc.so.6_no-load_16,109066848,9315980,22953574898,15331894147,3031662492,12130022,4080471010,24414068,15277680,7666731,4095095078,1916541,1,fr,no-load
fr_libc.so.6_no-load_17,116081859,11425299,23100486409,15533797060,3068400061,9171142,4147408795,31207659,17156143,7787177,4260012888,1943670,1,fr,no-load
fr_libc.so.6_no-load_18,108727246,9308614,22975226731,15369501254,3037257673,12375974,4088027867,27171150,15192959,7693195,4098104067,1893023,1,fr,no-load
fr_libc.so.6_no-load_19,117376399,9859445,23067927033,15708727945,3080570052,12436329,4129455139,24607186,15033889,7594206,4126489603,1779155,1,fr,no-load
fr_libc.so.6_no-load_20,136234634,20634091,24673067347,17195609021,3385128574,18300706,4608239114,55541784,22825026,9274805,4507759539,3254954,1,fr,no-load
fr_libc.so.6_no-load_21,134829375,17695707,24014277339,16803388985,3334148892,16880858,4555102148,46283021,18809763,8110579,4329787204,1993877,1,fr,no-load
fr_libc.so.6_no-load_22,109289022,9478239,22976836336,15435839485,3050988856,9017583,4105943690,24680283,15288896,7733920,4121533639,1922984,1,fr,no-load
fr_libc.so.6_no-load_23,118622325,10127612,23070204568,15522820023,3069330934,12618363,4125673085,26145699,15035019,7701176,4125587480,1787609,1,fr,no-load
fr_libc.so.6_no-load_24,130790761,10766904,23571496842,16562484502,3231878683,12904752,4257145323,27538557,16252417,7801585,4221153663,1940704,1,fr,no-load
fr_libc.so.6_avg-load_0,1607368518,10391924,62421501245,83644715470,10601386889,89863500,12779718431,1420242332,361210384,7507873,12834257163,1504340,1,fr,avg-load
fr_libc.so.6_avg-load_1,1632138784,10479217,61831151742,83415024900,10608788960,90320993,12753316712,1468549720,387900206,7759096,12762570133,1672029,1,fr,avg-load
fr_libc.so.6_avg-load_2,1627144765,16936500,62613753184,83851624459,10741701939,95865837,12985904760,1452836246,422473185,7884160,12911332912,1800674,1,fr,avg-load
fr_libc.so.6_avg-load_3,1585993997,9965714,61653787615,82964875007,10515293007,91302173,12666186439,1435573103,364751683,7496318,12681071003,1599499,1,fr,avg-load
fr_libc.so.6_avg-load_4,1615924686,12144597,61857530339,83204676602,10541988114,88171306,12676878077,1456770446,445958896,7383368,12702468245,1497447,1,fr,avg-load
fr_libc.so.6_avg-load_5,1581209012,10193153,61530160226,82595249419,10557326565,85378776,12581079536,1487664244,387432232,7480253,12597940811,1592413,1,fr,avg-load
fr_libc.so.6_avg-load_6,1626236477,10065468,61392708848,82375621628,10493641873,87478813,12545836895,1433656587,344697775,7468127,12617400039,1603041,1,fr,avg-load
fr_libc.so.6_avg-load_7,1531811254,10945209,61537255135,82667257599,10507853344,91875706,12587740514,1449887816,301091070,7398151,12574268310,1573971,1,fr,avg-load
fr_libc.so.6_avg-load_8,1554062418,11068386,61457231731,82040818746,10421345102,90268254,12473009020,1435977115,351429929,7296790,12524127580,1513220,1,fr,avg-load
fr_libc.so.6_avg-load_9,1616594435,11786167,62594757025,84089962066,10677828955,90103879,12809365896,1459156036,391204307,7835754,12841055892,1657311,1,fr,avg-load
fr_libc.so.6_avg-load_10,1617740171,10578675,61566850319,82417718764,10506199625,91351002,12587736223,1434995742,387494499,7289057,12582762121,1508177,1,fr,avg-load
fr_libc.so.6_avg-load_11,1503351013,11237563,61391734909,82470430642,10513987067,90778548,12609648979,1480228416,369900943,7434294,12506357956,1633117,1,fr,avg-load
fr_libc.so.6_avg-load_12,1461574638,11113084,61434595284,82860681112,10551831610,90738195,12663922235,1495032122,371891734,7286591,12532317118,1497029,1,fr,avg-load
fr_libc.so.6_avg-load_13,1761488704,10952228,61491923634,81965793445,10414943704,91055630,12429287463,1400322606,366690716,7361589,12592543392,1597363,1,fr,avg-load
fr_libc.so.6_avg-load_14,1547441389,11762762,61487471692,82507210429,10556226228,89850365,12606996924,1467720804,338271050,7275009,12438649235,1516412,1,fr,avg-load
fr_libc.so.6_avg-load_15,1540046082,9421288,61350545298,82021384778,10385242377,89913371,12543624032,1411909783,348436625,7447375,12644313575,1572332,1,fr,avg-load
fr_libc.so.6_avg-load_16,1534193359,10740383,61455946228,82804723887,10570697284,88739310,12651564906,1460922559,340650136,7369663,12621136463,1572973,1,fr,avg-load
fr_libc.so.6_avg-load_17,1475608701,10113322,61539701786,82328054261,10483513172,88636639,12567090922,1508514119,311467698,7383246,12463142819,1657105,1,fr,avg-load
fr_libc.so.6_avg-load_18,1654845377,10110433,61515051510,82019782540,10449145423,87275480,12512585774,1442192753,363907832,7385168,12468142919,1592935,1,fr,avg-load
